cluster_key,num_nodes,num_inc_switches,num_graph_vertices,num_graph_edges,num_pods,total_scheduling_time_ms
tree_4_8_1_2_0.400000,32,13,55,54,10,49
tree_4_8_1_2_0.400000,32,13,55,54,10,43
tree_4_8_1_2_0.400000,32,13,55,54,10,42
tree_4_8_1_2_0.400000,32,13,55,54,10,44
tree_4_8_1_2_0.400000,32,13,55,54,10,39
tree_8_16_1_2_0.400000,128,22,175,174,10,127
tree_8_16_1_2_0.400000,128,22,175,174,10,140
tree_8_16_1_2_0.400000,128,22,175,174,10,115
tree_8_16_1_2_0.400000,128,22,175,174,10,113
tree_8_16_1_2_0.400000,128,22,175,174,10,126
tree_8_16_1_2_0.800000,128,37,175,174,10,147
tree_8_16_1_2_0.800000,128,37,175,174,10,108
tree_8_16_1_2_0.800000,128,37,175,174,10,127
tree_8_16_1_2_0.800000,128,37,175,174,10,118
tree_8_16_1_2_0.800000,128,37,175,174,10,73
tree_8_32_4_2_0.500000,256,94,447,446,10,114
tree_8_32_4_2_0.500000,256,94,447,446,10,59
tree_8_32_4_2_0.500000,256,94,447,446,10,140
tree_8_32_4_2_0.500000,256,94,447,446,10,118
tree_8_32_4_2_0.500000,256,94,447,446,10,136
tree_8_32_4_2_0.800000,256,149,447,446,10,140
tree_8_32_4_2_0.800000,256,149,447,446,10,97
tree_8_32_4_2_0.800000,256,149,447,446,10,92
tree_8_32_4_2_0.800000,256,149,447,446,10,109
tree_8_32_4_2_0.800000,256,149,447,446,10,125
tree_8_128_4_2_0.400000,1024,324,1791,1790,10,292
tree_8_128_4_2_0.400000,1024,324,1791,1790,10,267
tree_8_128_4_2_0.400000,1024,324,1791,1790,10,311
tree_8_128_4_2_0.400000,1024,324,1791,1790,10,324
tree_8_128_4_2_0.400000,1024,324,1791,1790,10,269
tree_16_128_4_2_0.500000,2048,397,2815,2814,10,441
tree_16_128_4_2_0.500000,2048,397,2815,2814,10,459
tree_16_128_4_2_0.500000,2048,397,2815,2814,10,417
tree_16_128_4_2_0.500000,2048,397,2815,2814,10,488
tree_16_128_4_2_0.500000,2048,397,2815,2814,10,462
tree_16_256_4_2_0.500000,4096,777,5631,5630,10,545
tree_16_256_4_2_0.500000,4096,777,5631,5630,10,542
tree_16_256_4_2_0.500000,4096,777,5631,5630,10,518
tree_16_256_4_2_0.500000,4096,777,5631,5630,10,629
tree_16_256_4_2_0.500000,4096,777,5631,5630,10,575
tree_8_512_8_8_0.500000,4096,2398,8831,8830,10,644
tree_8_512_8_8_0.500000,4096,2398,8831,8830,10,738
tree_8_512_8_8_0.500000,4096,2398,8831,8830,10,796
tree_8_512_8_8_0.500000,4096,2398,8831,8830,10,697
tree_8_512_8_8_0.500000,4096,2398,8831,8830,10,679
tree_8_512_8_8_0.500000,4096,2398,8831,8830,10,711
tree_8_512_8_8_0.500000,4096,2398,8831,8830,10,666
tree_8_512_8_8_0.500000,4096,2398,8831,8830,10,648
tree_8_512_8_8_0.500000,4096,2398,8831,8830,10,663
tree_8_512_8_8_0.500000,4096,2398,8831,8830,10,668
tree_32_256_8_8_0.500000,8192,1200,10559,10558,10,440
tree_32_256_8_8_0.500000,8192,1200,10559,10558,10,426
tree_32_256_8_8_0.500000,8192,1200,10559,10558,10,453
tree_32_256_8_8_0.500000,8192,1200,10559,10558,10,451
tree_32_256_8_8_0.500000,8192,1200,10559,10558,10,491
